date,ninsee,no2,o3,pm10
01/04/2018,77300,15,34,25
01/04/2018,77301,11,36,24
01/04/2018,77302,5,43,15
01/04/2018,77303,11,35,25
01/04/2018,77304,10,35,25
01/04/2018,77305,9,42,17
01/04/2018,77306,18,38,20
01/04/2018,77307,26,32,25
01/04/2018,77308,24,34,29
01/04/2018,77309,20,34,29
01/04/2018,77310,11,39,19
01/04/2018,77311,10,40,19
01/04/2018,77312,6,43,15
01/04/2018,77313,9,43,17
01/04/2018,77314,11,35,25
01/04/2018,77315,22,33,27
01/04/2018,77316,7,43,15
01/04/2018,77317,14,38,20
01/04/2018,77318,18,34,24
01/04/2018,77319,11,37,22
01/04/2018,77320,14,35,24
01/04/2018,77321,11,39,19
01/04/2018,77322,29,33,27
01/04/2018,77323,28,33,27
01/04/2018,77325,11,38,19
01/04/2018,77326,20,38,20
01/04/2018,77327,13,38,20
01/04/2018,77328,9,41,15
01/04/2018,77329,7,43,15
01/04/2018,77330,18,34,27
01/04/2018,77331,11,35,24
01/04/2018,77332,25,33,29
01/04/2018,77333,6,43,15
01/04/2018,77335,21,33,29
01/04/2018,77336,21,34,24
01/04/2018,77337,31,32,25
01/04/2018,77338,8,43,17
01/04/2018,77339,10,41,15
01/04/2018,77340,6,43,15
01/04/2018,77341,11,37,20
01/04/2018,77342,7,43,15
01/04/2018,77343,11,35,24
01/04/2018,77344,20,34,27
01/04/2018,77345,12,35,24
01/04/2018,77347,11,38,20
01/04/2018,77348,6,43,15
01/04/2018,77349,26,33,27
01/04/2018,77350,25,33,24
01/04/2018,77352,17,36,22
01/04/2018,77353,8,43,15
01/04/2018,77354,11,41,17
01/04/2018,77355,11,38,20
01/04/2018,77356,11,36,20
01/04/2018,77357,14,37,22
01/04/2018,77358,19,34,27
01/04/2018,77359,14,40,17
01/04/2018,77360,15,35,24
01/04/2018,77361,15,35,25
01/04/2018,77363,28,31,29
01/04/2018,77364,22,33,29
01/04/2018,77365,14,35,22
01/04/2018,77366,21,33,29
01/04/2018,77367,13,34,25
01/04/2018,77368,11,37,20
01/04/2018,77369,17,34,27
01/04/2018,77370,7,43,15
01/04/2018,77371,15,34,24
01/04/2018,77372,29,31,27
01/04/2018,77373,27,33,24
01/04/2018,77374,27,33,24
01/04/2018,77376,23,32,29
01/04/2018,77377,21,35,22
01/04/2018,77378,17,39,17
01/04/2018,77379,11,37,22
01/04/2018,77380,15,34,27
01/04/2018,77381,14,37,20
01/04/2018,77382,20,33,27
01/04/2018,77383,12,38,20
01/04/2018,77384,19,38,20
01/04/2018,77385,12,35,24
01/04/2018,77386,5,43,15
01/04/2018,77387,8,43,15
01/04/2018,77388,12,35,24
01/04/2018,77389,14,39,17
01/04/2018,77390,27,33,24
01/04/2018,77391,11,37,22
01/04/2018,77392,23,34,29
01/04/2018,77393,15,36,22
01/04/2018,77394,17,38,19
01/04/2018,77395,7,42,15
01/04/2018,77396,11,36,22
01/04/2018,77397,11,35,24
01/04/2018,77398,11,35,24
01/04/2018,77399,8,43,15
01/04/2018,77400,14,34,24
01/04/2018,77401,11,35,24
01/04/2018,77402,11,35,24
01/04/2018,77403,11,37,22
01/04/2018,77404,11,37,20
01/04/2018,77405,13,35,24
01/04/2018,77406,13,35,24
01/04/2018,77407,19,39,19
01/04/2018,77408,16,34,25
01/04/2018,77409,9,42,17
01/04/2018,77410,17,38,20
01/04/2018,77411,14,35,24
01/04/2018,77412,14,40,17
01/04/2018,77413,21,33,25
01/04/2018,77414,11,37,22
01/04/2018,77415,14,34,25
01/04/2018,77416,13,37,22
01/04/2018,77417,12,35,24
01/04/2018,77418,11,38,20
01/04/2018,77419,8,42,15
01/04/2018,77420,25,33,29
01/04/2018,77421,11,36,24
01/04/2018,77423,11,35,24
01/04/2018,77424,11,36,24
01/04/2018,77425,11,41,15
01/04/2018,77426,14,38,20
01/04/2018,77427,25,33,29
01/04/2018,77428,13,38,20
01/04/2018,77429,12,35,24
01/04/2018,77430,20,34,27
01/04/2018,77431,6,43,15
01/04/2018,77432,12,35,24
01/04/2018,77433,14,35,24
01/04/2018,77434,11,39,19
01/04/2018,77435,16,40,17
01/04/2018,77436,13,35,24
01/04/2018,77437,21,34,29
01/04/2018,77438,29,32,25
01/04/2018,77439,10,41,17
01/04/2018,77440,13,35,25
01/04/2018,77441,10,41,17
01/04/2018,77442,8,42,17
01/04/2018,77443,16,34,25
01/04/2018,77444,11,36,24
01/04/2018,77445,20,38,20
01/04/2018,77446,11,38,20
01/04/2018,77447,19,39,19
01/04/2018,77448,12,35,24
01/04/2018,77449,23,33,25
01/04/2018,77450,21,35,22
01/04/2018,77451,14,35,25
01/04/2018,77452,11,39,19
01/04/2018,77453,14,39,19
01/04/2018,77454,11,38,20
01/04/2018,77455,19,36,20
01/04/2018,77456,11,37,20
01/04/2018,77457,18,36,20
01/04/2018,77458,9,43,15
01/04/2018,77459,11,37,20
01/04/2018,77460,12,35,25
01/04/2018,77461,11,38,20
01/04/2018,77462,27,32,29
01/04/2018,77463,8,42,15
01/04/2018,77464,27,32,27
01/04/2018,77465,8,43,17
01/04/2018,77466,18,34,24
01/04/2018,77467,10,42,17
01/04/2018,77468,31,32,25
01/04/2018,77469,14,35,24
