Code du Département;Date;Nb actuellement hospitalisés;Nb actuellement en soins intensifs;Total retour à domicile;Total Décès;Code région;Code ISO 3166 de la zone;Nom région;Nom département;Sexe;geo_point_2d;HospConv;SSR_USLD;autres;Nb Quotidien Admis Hospitalisation;Nb Quotidien Admis Réanimation;Nb Quotidien Décès;Nb Quotidien Retour à Domicile
56;2021-11-07;44;7;2419;462;53;FRA;Bretagne;Morbihan;Tous;47.8441455862, -2.8088066223;28.0;8.0;1.0;3;0;0;1
35;2021-11-08;130;10;4060;763;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;72.0;47.0;1.0;7;2;0;3
35;2021-11-08;57;9;2043;425;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366, -1.63554809717;32.0;16.0;0.0;;;;
22;2021-11-09;14;2;695;152;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443, -2.86206319142;10.0;0.0;2.0;;;;
29;2021-11-09;21;1;641;106;53;FRA;Bretagne;Finistère;Femme;48.2628706879, -4.05692098846;14.0;6.0;0.0;;;;
29;2021-11-10;46;5;1359;298;53;FRA;Bretagne;Finistère;Tous;48.2628706879, -4.05692098846;21.0;18.0;2.0;3;0;0;3
22;2021-11-11;13;2;696;152;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443, -2.86206319142;9.0;0.0;2.0;;;;
35;2021-11-13;64;1;2002;336;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366, -1.63554809717;33.0;29.0;1.0;;;;
35;2021-11-17;141;14;4107;769;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;80.0;46.0;1.0;8;1;1;11
22;2021-11-19;35;4;1475;266;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443, -2.86206319142;24.0;4.0;3.0;1;1;0;4
56;2021-11-20;31;1;1212;198;53;FRA;Bretagne;Morbihan;Femme;47.8441455862, -2.8088066223;23.0;6.0;1.0;;;;
22;2022-07-19;40;3;1864;240;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443, -2.86206319142;30.0;2.0;5.0;;;;
22;2022-07-22;33;3;1886;242;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443, -2.86206319142;23.0;2.0;5.0;;;;
