ndeg_auto;dep;nom;region_administrative;adresse;code_insee;commune;situation_geographique;ecrans;fauteuils;tranche_d_entrees;proprietaire;programmateur;categorie_art_et_essai;label_art_et_essai;genre;multiplexe;population_de_la_commune_2015;unite_urbaine_2010;population_unite_urbaine_2015;semaines_d_activite_2020;seances_2020;entrees_2020;entrees_2019;evolution_entrees_2020_2019;art_et_essai;nombre_de_films_programmes_2020;nombre_de_films_inedits_2020;nombre_de_films_en_semaine_1_2020;pdm_en_entrees_des_films_francais_2020;pdm_en_entrees_des_films_americains_2020;pdm_en_entrees_des_films_europeens_2020;pdm_en_entrees_des_autres_films_2020;films_art_et_essai_2020;part_des_seances_de_films_art_et_essai_2020;pdm_en_entrees_des_films_art_et_essai_2020;geo
30184.0;93;UGC CINE CITE O'PARINOR;ILE-DE-FRANCE;LE HAUT DE GALY;93005;Aulnay-sous-Bois;02-Grande Couronne;14;2592;De 200 à 300 000 entrées;UGC CINE CITE;UGC DIFFUSION;NON;;FIXE;OUI;83584.0;Paris;10706072.0;31.0;13158.0;273569.0;989339.0;-72.3483052826;NON;228.0;104.0;103.0;35.958855633;55.80283418;5.52444912788;2.71386105912;73.0;17.1695008228;9.74033123103;48.960325,2.473606
35953.0;92;THEATRE VICTOR HUGO;ILE-DE-FRANCE;14 AV VICTOR HUGO;92007;Bagneux;02-Grande Couronne;1;418;De 2 à 5 000 entrées;COMMUNE DE BAGNEUX;;NON;;FIXE;NON;39487.0;Paris;10706072.0;15.0;67.0;4348.0;10101.0;-56.9547569548;NON;30.0;12.0;2.0;35.0310696849;43.4087882823;13.5486018642;8.01154016866;15.0;16.1280101394;9.8091433644;48.804045,2.321692
36013.0;93;LE CIN'HOCHE;ILE-DE-FRANCE;6 RUE HOCHE;93006;Bagnolet;02-Grande Couronne;2;288;De 10 à 20 000 entrées;ASSOCIATION BAGNOLETAISE DU CINEMA;;C;RDJPPR;FIXE;NON;35881.0;Paris;10706072.0;27.0;1003.0;14047.0;35411.0;-60.3315353986;OUI;141.0;87.0;4.0;42.7243824896;52.9469307899;3.90070921986;0.427977500611;111.0;19.6721311475;22.01027146;48.869237,2.417029
37350.0;91;CINE TOILE;ILE-DE-FRANCE;2 RUE DES COLOMBES;91045;Ballancourt-sur-Essonne;03-Petite couronne;1;189;De 2 à 5 000 entrées;CINEMA CONFLUENCES MENNECY;;NON;;FIXE;NON;7538.0;Ballancourt-sur-Essonne;35283.0;19.0;210.0;4258.0;22157.0;-80.782596922;NON;47.0;38.0;30.0;49.2310236481;24.2434264925;16.1071605755;10.4183892839;12.0;41.4545454545;38.5645774764;48.528643,2.388787
45132.0;95;BEAUMONT PALACE;ILE-DE-FRANCE;6 AV ANATOLE FRANCE;95052;Beaumont-sur-Oise;03-Petite couronne;1;353;De 5 à 10 000 entrées;COMMUNE DE BEAUMONT SUR OISE;SARL GPCI;D;JPPR;FIXE;NON;9699.0;Persan - Beaumont-sur-Oise;37357.0;26.0;454.0;6642.0;20573.0;-67.7149662179;OUI;120.0;87.0;0.0;25.9226867238;56.8479972013;11.4220745146;5.80724156026;58.0;23.6842105263;18.8035683051;49.141412,2.283076
54292.0;78;LA BARBACANE;ILE-DE-FRANCE;PLACE DU 8 MAI 1945;78062;Beynes;03-Petite couronne;1;292;De 2 à 5 000 entrées;SYNDICAT INTERCOMMUNAL DE GESTION DES ACTIVITES DU CENTRE CULTUR;SARL GPCI;NON;;FIXE;NON;7552.0;Beynes;8069.0;22.0;193.0;3950.0;11782.0;-66.4742828043;NON;71.0;57.0;0.0;35.7440890125;44.866235785;11.6010799313;7.78859527121;26.0;18.636693256;22.4658430827;48.855732,1.875104
54692.0;95;THEATRE PAUL ELUARD;ILE-DE-FRANCE;162 RUE MAURICE BERTEAUX;95063;Bezons;03-Petite couronne;2;598;De 5 à 10 000 entrées;THEATRE PAUL ELUARD;SARL GPCI;C;JP;FIXE;NON;28674.0;Paris;10706072.0;30.0;743.0;9537.0;31748.0;-69.9603124606;OUI;125.0;101.0;6.0;57.6987273107;29.4596286251;8.38723137909;4.45441268517;57.0;33.3333333333;37.4087210515;48.931156,2.207081
57582.0;93;CINEMA LOUIS DAQUIN;ILE-DE-FRANCE;76 RUE VICTOR HUGO;93007;Le Blanc-Mesnil;02-Grande Couronne;3;447;De 20 à 30 000 entrées;COMMUNE DE BLANC MESNIL;;C;JPPR;FIXE;NON;55297.0;Paris;10706072.0;31.0;1705.0;23861.0;65863.0;-63.7717686713;OUI;139.0;101.0;25.0;53.4617407842;32.9785942621;10.2375268078;3.32213814592;63.0;41.9014084507;38.2794480638;48.941761,2.457313
59033.0;93;AUDITORIUM BOURSE TRAVAIL;ILE-DE-FRANCE;11 RUE DU 8 MAI 1945;93008;Bobigny;02-Grande Couronne;1;400;De 2 à 5 000 entrées;EST ENSEMBLE;;E;;ITINERANT;NON;51716.0;Paris;10706072.0;30.0;437.0;4922.0;5102.0;-3.52802822423;OUI;100.0;69.0;3.0;30.3337315896;55.6285394354;11.5051407202;2.53258825483;56.0;19.4657801215;14.8826394209;48.90951,2.436542
59604.0;92;JEAN RENOIR;ILE-DE-FRANCE;RUE DU GENERAL LECLERC;92009;Bois-Colombes;02-Grande Couronne;1;300;De 5 à 10 000 entrées;COMMUNE DE BOIS COLOMBES;;NON;;FIXE;NON;28043.0;Paris;10706072.0;21.0;175.0;8031.0;17191.0;-53.2836949567;NON;51.0;28.0;0.0;44.1448755742;41.980569193;11.1097791557;2.76477607711;28.0;32.9119939175;29.8371321306;48.916548,2.266897
59690.0;78;LA GRANGE DE LA TREMBLAYE;ILE-DE-FRANCE;RUE DU PARC;78073;Bois-d'Arcy;03-Petite couronne;1;338;De 2 à 5 000 entrées;COMMUNE DE BOIS D'ARCY;;NON;;FIXE;NON;14299.0;Paris;10706072.0;25.0;304.0;4186.0;11922.0;-64.8884415367;NON;75.0;61.0;0.0;34.8167261673;55.6166271959;4.93796613764;4.6286804991;30.0;13.630960243;8.96751617122;48.800013,2.023763
60942.0;94;LE FORUM;ILE-DE-FRANCE;PLACE DU FORUM;94004;Boissy-Saint-Léger;02-Grande Couronne;1;114;Moins de 2000 entrées;COMMUNE DE BOISSY SAINT LEGER;;NON;;FIXE;NON;15922.0;Paris;10706072.0;19.0;47.0;1951.0;5354.0;-63.5599551737;NON;26.0;15.0;0.0;57.1092406553;16.0738528374;13.6030409992;13.2138655082;11.0;72.78208441;75.5724499955;48.754035,2.502015
61504.0;93;SALLE ANDRE MALRAUX;ILE-DE-FRANCE;25 COURS DE LA REPUBLIQUE;93010;Bondy;02-Grande Couronne;1;324;De 10 à 20 000 entrées;COMMUNE DE BONDY;;C;JP;FIXE;NON;53439.0;Paris;10706072.0;30.0;654.0;12659.0;33757.0;-62.4996297064;OUI;132.0;87.0;6.0;61.7416545718;25.3701015965;6.96661828737;5.92162554427;79.0;46.2633451957;47.1117561684;48.901598,2.480089
62121.0;94;GERARD PHILIPE;ILE-DE-FRANCE;2 RUE PABLO NERUDA;94011;Bonneuil-sur-Marne;02-Grande Couronne;1;245;De 2 à 5 000 entrées;COMMUNE DE BONNEUIL SUR MARNE;;NON;;FIXE;NON;16903.0;Paris;10706072.0;25.0;283.0;4130.0;11145.0;-62.9430237775;NON;59.0;46.0;1.0;48.0467687846;46.7325296837;4.37777576362;0.84292576815;21.0;26.4077669903;20.3933653585;48.774577,2.486664
66835.0;92;CINEMA LANDOWSKI;ILE-DE-FRANCE;28 AVENUE ANDRE-MORIZET;92012;Boulogne-Billancourt;02-Grande Couronne;1;154;De 20 à 30 000 entrées;COMMUNE DE BOULOGNE-BILLANCOURT;;C;RDJPPR;FIXE;NON;117931.0;Paris;10706072.0;26.0;843.0;22897.0;50439.0;-54.6045718591;OUI;81.0;46.0;36.0;56.6224123828;33.3228465362;6.95484385159;3.09989722939;68.0;39.3840104849;28.0563770213;48.83591,2.239289
66923.0;92;PATHE;ILE-DE-FRANCE;26 RUE LE CORBUSIER;92012;Boulogne-Billancourt;02-Grande Couronne;7;1492;De 150 à 200 000 entrées;EUROPALACES NICE BOULOGNE;LES CINEMAS GAUMONT PATHE;NON;;FIXE;NON;117931.0;Paris;10706072.0;31.0;6272.0;180567.0;604549.0;-70.1319496021;NON;124.0;88.0;85.0;46.6112430721;45.3206650831;6.29849564529;1.76959619952;47.0;20.9186496956;14.3467933492;48.837649,2.239534
68114.0;93;LE CINEMA;ILE-DE-FRANCE;10 AVENUE FRANCIS DE PRESSENSE;93013;Le Bourget;02-Grande Couronne;1;83;Moins de 2000 entrées;COMMUNE DU BOURGET;SARL GPCI;NON;;FIXE;NON;16239.0;Paris;10706072.0;26.0;327.0;1974.0;6463.0;-69.4569085564;NON;64.0;52.0;0.0;58.3160514309;28.6050048389;8.26766210424;4.81128162588;16.0;32.3624595469;33.4992395963;48.932361,2.424858
68212.0;92;AUDITORIUM DU CONSERVATOIRE;ILE-DE-FRANCE;11 BD CARNOT;92014;Bourg-la-Reine;02-Grande Couronne;1;177;Moins de 2000 entrées;LES GEMEAUX SCENE NATIONALE;;NON;;FIXE;NON;20249.0;Paris;10706072.0;3.0;3.0;235.0;1575.0;-85.0793650794;NON;3.0;0.0;0.0;57.9648295445;32.764318095;5.89495358762;3.37589877285;3.0;29.5238095238;26.9341259693;48.778884,2.317531
69641.0;91;BUXY;ILE-DE-FRANCE;CENTRE COMMERCIAL VAL D'YERRES 2;91097;Boussy-Saint-Antoine;03-Petite couronne;5;797;De 20 à 30 000 entrées;ASSOCIATION DES CINEMAS INDEPENDANTS;SARL GPCI;C;;FIXE;NON;7027.0;Paris;10706072.0;27.0;2928.0;29093.0;114934.0;-74.6872117911;OUI;121.0;91.0;63.0;74.2877924597;19.905443084;5.07940356407;0.727360892229;48.0;28.6956521739;28.9974542369;48.683571,2.535014
71901.0;77;LE RENAISSANCE;ILE-DE-FRANCE;16 RUE DE L EGLISE;77051;Bray-sur-Seine;03-Petite couronne;1;105;Moins de 2000 entrées;LEMOINE DENISE;;E;;FIXE;NON;2222.0;Bray-sur-Seine;3334.0;23.0;127.0;1226.0;5227.0;-76.5448632103;OUI;57.0;39.0;0.0;46.7625096478;45.3853092424;5.91796311967;1.93421799009;26.0;15.8416804435;11.4030519728;48.415251,3.237856
